"count","name","year"
290512,"Streeter Dr & Grand Ave",2015
203576,"Streeter Dr & Grand Ave",2017
191134,"DuSable Lake Shore Dr & Monroe St",2015
189517,"Streeter Dr & Grand Ave",2016
175554,"Theater on the Lake",2015
171716,"DuSable Lake Shore Dr & North Blvd",2015
163744,"Streeter Dr & Grand Ave",2021
161918,"Michigan Ave & Oak St",2015
154606,"Millennium Park",2015
153818,"Clinton St & Washington Blvd",2015
149706,"Streeter Dr & Grand Ave",2019
148032,"Canal St & Adams St",2015
145165,"Streeter Dr & Grand Ave",2018
135502,"Canal St & Madison St",2015
121833,"Canal St & Adams St",2018
121254,"Streeter Dr & Grand Ave",2014
104516,"Canal St & Adams St",2019
103510,"Canal St & Adams St",2017
103495,"DuSable Lake Shore Dr & Monroe St",2017
101760,"Clinton St & Madison St",2018
100857,"DuSable Lake Shore Dr & North Blvd",2017
100531,"DuSable Lake Shore Dr & North Blvd",2021
100166,"Clinton St & Madison St",2015
99663,"DuSable Lake Shore Dr & Monroe St",2016
99198,"Theater on the Lake",2016
98839,"Clinton St & Washington Blvd",2019
98673,"Theater on the Lake",2017
97606,"Michigan Ave & Washington St",2015
97219,"Clinton St & Madison St",2019
96716,"Franklin St & Monroe St",2015
96626,"Clinton St & Washington Blvd",2017
96422,"New St & Illinois St",2015
96368,"DuSable Lake Shore Dr & North Blvd",2016
96307,"Clinton St & Washington Blvd",2018
95230,"Dearborn St & Monroe St",2015
95092,"Shedd Aquarium",2015
94796,"Clinton St & Madison St",2017
93906,"Wabash Ave & Grand Ave",2015
92504,"Michigan Ave & Lake St",2015
91730,"LaSalle St & Jackson Blvd",2015
91042,"Clinton St & Washington Blvd",2016
90437,"DuSable Lake Shore Dr & Monroe St",2019
89740,"Indiana Ave & Roosevelt Rd",2015
89243,"DuSable Lake Shore Dr & Monroe St",2021
88130,"Canal St & Jackson Blvd",2015
87964,"Michigan Ave & Oak St",2021
86474,"Wells St & Concord Ln",2021
85880,"Franklin St & Jackson Blvd",2015
85712,"Clark St & Elm St",2015
84664,"Columbus Dr & Randolph St",2015
84030,"Millennium Park",2021
83372,"DuSable Lake Shore Dr & Monroe St",2014
82492,"Clark St & Lincoln Ave",2015
81582,"Michigan Ave & Oak St",2017
80832,"Clark St & Elm St",2021
79956,"Theater on the Lake",2014
79782,"St. Clair St & Erie St",2015
